Elizabeth II
Queen Victoria
Mary, mother of Jesus
Elizabeth I of England
Margaret Thatcher
Madonna (entertainer)
Hillary Clinton
Catherine the Great
Beyonce
England national rugby union team
Britney Spears
Anne, Queen of Great Britain
Maria Theresa
Mary I of England
Rihanna
Lady Gaga
Indira Gandhi
Athena
Taylor Swift
Marilyn Monroe
Mariah Carey
Mary, Queen of Scots
Diana, Princess of Wales
Queen Elizabeth The Queen Mother
Virginia Woolf
Whitney Houston
Dolly Parton
Celine Dion
Katy Perry
Jane Austen
Asha Bhosle
Joan of Arc
Barbra Streisand
Aretha Franklin
Angela Merkel
Janet Jackson
Kylie Minogue
Jennifer Lopez
Muse
Serena Williams
Ella Fitzgerald
Eleanor Roosevelt
Marie Antoinette
Christina Aguilera
Cher
Adele
Isabella I of Castile
Martina Navratilova
Aphrodite
Agatha Christie
Judy Garland
Oprah Winfrey
J. K. Rowling
Condoleezza Rice
Kesha
Goddess
Billie Holiday
Diana Ross
Britannia
Mary of Teck
Venus (mythology)
Artemis
Lata Mangeshkar
Bjork
Theotokos
Anne, Princess Royal
Shakira
Venus Williams
Yoko Ono
Joni Mitchell
Parvati
Hera
Tina Turner
Nancy Pelosi
S. Janaki
Mary Magdalene
Marie Curie
Isis
Catherine of Aragon
Emily Dickinson
Marlene Dietrich
Gloria Macapagal Arroyo
Lakshmi
Mary J. Blige
Durga
Michelle Obama
Elizabeth Taylor
Cleopatra
Martina Hingis
Ayn Rand
George Eliot
Sarah Palin
 Mary Shelley
Maria Sharapova
Corazon Aquino
Julia Gillard
Jacqueline Kennedy Onassis
Bette Davis
Pink (singer)
Emmylou Harris
